time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1721	1.3329	5.20209	0.209595	0.157575	radar	4.91023	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4004	1.41305	5.17786	0.229028	0.169408	lidar	1.33411	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6382	1.4925	5.12725	0.24769	0.180985	radar	4.69176	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8675	1.52955	5.10238	0.247255	0.171925	lidar	1.29229	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1307	1.58024	5.12193	0.249596	0.165409	radar	1.61816	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4077	1.6306	5.15031	0.250499	0.157834	lidar	1.68299	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.642	1.68777	5.11714	0.257141	0.157345	radar	1.11757	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8741	1.75441	5.10143	0.266358	0.158842	lidar	0.469516	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1273	1.8394	5.12809	0.279516	0.163287	radar	1.23643	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3698	1.87623	5.11527	0.274846	0.150843	lidar	0.631899	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6229	1.93739	5.13675	0.277635	0.145451	radar	0.878223	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8265	2.06375	5.10692	0.309078	0.16946	lidar	3.70622	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0886	2.16397	5.15965	0.322446	0.172679	radar	3.59746	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.294	2.29951	5.13515	0.35416	0.195635	lidar	3.0183	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4841	2.43022	5.06335	0.386074	0.220141	radar	11.678	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7311	2.55045	5.08532	0.404428	0.227149	lidar	0.874522	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9536	2.65714	5.06754	0.419663	0.231836	radar	0.395916	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1815	2.8111	5.08389	0.449554	0.249692	lidar	1.08407	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4278	2.91675	5.12009	0.455567	0.241116	radar	1.23145	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6338	3.00383	5.0852	0.460808	0.23486	lidar	2.02257	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8641	3.14605	5.11713	0.480499	0.240968	radar	4.12267	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0711	3.33508	5.13045	0.519848	0.267718	lidar	1.96707	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2864	3.48921	5.12341	0.544743	0.280588	radar	2.87348	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4981	3.67938	5.14589	0.579292	0.30046	lidar	1.39469	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7114	3.8094	5.13641	0.590444	0.297049	radar	0.756986	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9292	3.96422	5.14774	0.607924	0.299443	lidar	0.192583	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1296	4.12119	5.12125	0.630802	0.310601	radar	1.99147	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.326	4.32036	5.14099	0.663515	0.327101	lidar	0.947835	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5363	4.47946	5.15016	0.677765	0.324709	radar	0.550905	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7137	4.65759	5.14036	0.702924	0.333602	lidar	0.663558	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8755	4.84482	5.08348	0.739779	0.361099	radar	5.56674	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0408	5.07239	5.10342	0.7792	0.381531	lidar	1.3233	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2126	5.24291	5.0765	0.799431	0.3857	radar	1.87036	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3717	5.43428	5.0689	0.824461	0.391428	lidar	0.359428	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5295	5.60706	5.03178	0.845921	0.397357	radar	3.5585	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7187	5.74802	5.01253	0.845999	0.378644	lidar	1.21276	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8641	5.94643	4.98371	0.877102	0.395721	radar	1.84853	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0366	6.14095	4.99669	0.893711	0.392391	lidar	0.457406	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1854	6.34804	4.99678	0.919062	0.399141	radar	0.778392	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3086	6.58284	5.00793	0.954928	0.414206	lidar	0.880239	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4406	6.79624	4.99863	0.982878	0.423803	radar	0.50362	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5857	6.94859	4.95285	0.987038	0.408452	lidar	2.12247	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7312	7.15612	4.96686	1.00234	0.401308	radar	0.344109	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9215	7.30639	4.94827	0.991812	0.372471	lidar	3.78592	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0117	7.51703	4.90168	1.02905	0.397267	radar	4.75392	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1063	7.76837	4.92246	1.06661	0.413735	lidar	1.12969	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2243	7.97954	4.91817	1.08556	0.412104	radar	0.27528	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3052	8.19451	4.89654	1.11425	0.420195	lidar	1.77917	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4016	8.40892	4.89045	1.13451	0.417637	radar	2.37968	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4946	8.56793	4.82117	1.14419	0.408395	lidar	4.77232	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5834	8.7828	4.80435	1.16857	0.414983	radar	0.778513	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
